,source,target,type_gene_A,type_gene_B,gene_A,gene_B,MeanLR
145,Lymphatic_Endo,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.99904
146,NK,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.99783
147,Monocytes,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.99229
148,CCL18_Macrophages,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.98778
149,Fib_3,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.98508
150,LYVE_PLTP_Macrophages,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.98318
151,Pericyte_1,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.97444
152,SPP1_Macrophages,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.97382
153,vSMCs_2,damaged_CM,Ligand,Receptor,CALM1,RYR2,70.96984
154,healthy_CM,damaged_CM,Ligand,Receptor,S100A1,RYR2,70.965576
155,Purkinje_fibers,damaged_CM,Ligand,Receptor,S100A1,RYR2,70.95284
156,vCM_4,damaged_CM,Ligand,Receptor,S100A1,RYR2,70.940636
157,damaged_CM,damaged_CM,Ligand,Receptor,S100A1,RYR2,70.93375
158,vCM_3,damaged_CM,Ligand,Receptor,S100A1,RYR2,70.927284
159,vCM_4,damaged_CM,Ligand,Receptor,CALM3,RYR2,70.92498
160,intermediate_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,61.73066
161,healthy_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,61.640987
162,vCM_4,vCM_3,Ligand,Receptor,CALM1,RYR2,61.56372
163,damaged_CM,vCM_3,Ligand,Receptor,CALM1,RYR2,61.555943
164,Pericyte_2,vCM_3,Ligand,Receptor,CALM1,RYR2,61.542583
165,Endocardial_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.53477
166,Capillary_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.508133
167,vCM_3,vCM_3,Ligand,Receptor,CALM1,RYR2,61.496136
168,Arterial_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.481144
169,prolif,vCM_3,Ligand,Receptor,CALM1,RYR2,61.46323
170,perivascular_fibroblasts,vCM_3,Ligand,Receptor,CALM1,RYR2,61.45065
171,Venous_Endo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.450558
172,NK_T,vCM_3,Ligand,Receptor,CALM1,RYR2,61.444927
173,Purkinje_fibers,vCM_3,Ligand,Receptor,CALM1,RYR2,61.442883
174,Adipo,vCM_3,Ligand,Receptor,CALM1,RYR2,61.442207
175,Fib_SCARA5,vCM_3,Ligand,Receptor,CALM1,RYR2,61.43793
176,Neuronal,vCM_3,Ligand,Receptor,CALM1,RYR2,61.437107
177,Myofib,vCM_3,Ligand,Receptor,CALM1,RYR2,61.43216
178,Fib_0,vCM_3,Ligand,Receptor,CALM1,RYR2,61.42981
